1;ASMAT;1
2;MAPPI;1
3;MIMIKA;1
4;YALIMO;1
5;MERAUKE;1
6;BOVEN DIGOEL;1
7;YAHUKIMO;1
8;NDUGA;1
9;PEGUNUNGAN BINTANG;1
10;LANNY JAYA;1
11;TOLIKARA;1
12;JAYAWIJAYA;1
13;MAMBERAMO TENGAH;1
14;JAYAPURA;1
15;SARMI;1
16;MAMBERAMO RAYA;1
17;KEEROM;1
18;DOGIYAI;1
19;PUNCAK JAYA;1
20;PUNCAK;1
21;KAIMANA;2
22;FAKFAK;2
23;PANIAI;1
24;DEIYAI (DELIYAI);1
25;INTAN JAYA;1
26;NABIRE;1
27;MAYBRAT;2
28;SORONG;2
29;TAMBRAUW;2
30;RAJA AMPAT;2
31;TELUK BINTUNI;2
32;SORONG SELATAN;2
33;MANOKWARI;2
34;PEGUNUNGAN ARFAK;2
35;MANOKWARI SELATAN;2
36;TELUK WONDAMA;2
37;BIAK NUMFOR;1
38;SUPIORI;1
39;KEPULAUAN YAPEN (YAPEN WAROPEN);1
40;WAROPEN;1
41;KEPULAUAN SULA;3
42;TIDORE KEPULAUAN;3
43;HALMAHERA TENGAH;3
44;HALMAHERA TIMUR;3
45;HALMAHERA UTARA;3
46;PULAU MOROTAI;3
47;HALMAHERA SELATAN;3
48;KEPULAUAN ARU;4
49;TERNATE;3
50;HALMAHERA BARAT;3
51;SERAM BAGIAN TIMUR;4
52;MALUKU TENGGARA;4
53;TUAL;4
54;MALUKU BARAT DAYA;4
55;MALUKU TENGAH;4
56;SERAM BAGIAN BARAT;4
57;BURU;4
58;BURU SELATAN;4
59;GORONTALO UTARA;5
60;BONE BOLANGO;5
61;AMBON;4
62;MALUKU TENGGARA BARAT;4
63;GORONTALO;5
64;BOALEMO;5
65;POHUWATO;5
66;POLEWALI MANDAR;6
67;KEPULAUAN TALAUD;7
68;MINAHASA SELATAN;7
69;MINAHASA TENGGARA;7
70;BOLAANG MONGONDOW (BOLMONG);7
71;BOLAANG MONGONDOW SELATAN;7
72;BOLAANG MONGONDOW TIMUR;7
73;KEPULAUAN SANGIHE;7
74;KEPULAUAN SIAU TAGULANDANG BIARO (SITARO);7
75;MINAHASA;7
76;KOTAMOBAGU;7
77;BOLAANG MONGONDOW UTARA;7
78;MANADO;7
79;MINAHASA UTARA;7
80;TOMOHON;7
81;BITUNG;7
82;BANGGAI KEPULAUAN;8
83;MOROWALI;8
84;TOJO UNA-UNA;8
85;BANGGAI;8
86;TOLI-TOLI;8
87;BUOL;8
88;POSO;8
89;SIGI;8
90;DONGGALA;8
91;PARIGI MOUTONG;8
92;KONAWE SELATAN;9
93;KOLAKA UTARA;9
94;KOLAKA;9
95;PALU;8
96;BOMBANA;9
97;BUTON;9
98;WAKATOBI;9
99;MUNA;9
100;BUTON UTARA;9
101;BAU-BAU;9
102;KONAWE;9
103;KONAWE UTARA;9
104;SELAYAR (KEPULAUAN SELAYAR);10
105;LUWU UTARA;10
106;LUWU TIMUR;10
107;KENDARI;9
108;BONE;10
109;BULUKUMBA;10
110;SINJAI;10
111;MAROS;10
112;GOWA;10
113;TAKALAR;10
114;JENEPONTO;10
115;BANTAENG;10
116;TANA TORAJA;10
117;PALOPO;10
118;LUWU;10
119;TORAJA UTARA;10
120;SIDENRENG RAPPANG/RAPANG;10
121;ENREKANG;10
122;MAMASA;6
123;MAJENE;6
124;MAMUJU;6
125;MAMUJU UTARA;6
126;WAJO;10
127;PAREPARE;10
128;PINRANG;10
129;MAKASSAR;10
130;PANGKAJENE KEPULAUAN;10
131;BARRU;10
132;SOPPENG;10
133;SUMBA TIMUR;11
134;SUMBA BARAT;11
135;SUMBA BARAT DAYA;11
136;SUMBA TENGAH;11
137;MANGGARAI TIMUR;11
138;MANGGARAI;11
139;LEMBATA;11
140;MANGGARAI BARAT;11
141;NGADA;11
142;NAGEKEO;11
143;FLORES TIMUR;11
144;ENDE;11
145;ALOR;11
146;ROTE NDAO;11
147;SIKKA;11
148;TIMOR TENGAH UTARA;11
149;BELU;11
150;KUPANG;11
151;SABU RAIJUA;11
152;TIMOR TENGAH SELATAN;11
153;BIMA;12
154;DOMPU;12
155;SUMBAWA;12
156;SUMBAWA BARAT;12
157;LOMBOK TENGAH;12
158;LOMBOK TIMUR;12
159;TABANAN;13
160;JEMBRANA;13
161;MATARAM;12
162;LOMBOK BARAT;12
163;LOMBOK UTARA;12
164;GIANYAR;13
165;BANGLI;13
166;KLUNGKUNG;13
167;KARANGASEM;13
168;BULELENG;13
169;SAMBAS;14
170;SEKADAU;14
171;MELAWI;14
172;DENPASAR;13
173;BADUNG;13
174;KETAPANG;14
175;PONTIANAK;14
176;SINGKAWANG;14
177;BENGKAYANG;14
178;LANDAK;14
179;KAPUAS HULU;14
180;KAYONG UTARA;14
181;SANGGAU;14
182;SINTANG;14
183;NUNUKAN;15
184;MALINAU;15
185;KUBU RAYA;14
186;PASER;16
187;PENAJAM PASER UTARA;16
188;TARAKAN;15
189;SAMARINDA;16
190;TANA TIDUNG;15
191;BULUNGAN (BULONGAN);15
192;BERAU;16
193;KUTAI TIMUR;16
194;KUTAI BARAT;16
195;BALIKPAPAN;16
196;KUTAI KARTANEGARA;16
197;PULANG PISAU;17
198;BONTANG;16
199;KOTAWARINGIN TIMUR;17
200;KATINGAN;17
201;GUNUNG MAS;17
202;KAPUAS;17
203;LAMANDAU;17
204;MURUNG RAYA;17
205;KOTAWARINGIN BARAT;17
206;SUKAMARA;17
207;SERUYAN;17
208;BARITO TIMUR;17
209;BARITO SELATAN;17
210;BARITO UTARA;17
211;KOTABARU;18
212;TABALONG;18
213;TANAH BUMBU;18
