RS Islam Muhammadiyah Sumberrejo;int
RS 'Aisyiyah Siti Fatimah Tulangan;int
RS Siti Khodijah Muhammadiyah Cabang Sepanjang;int
RS 'Aisyiyah Bojonegoro ;int
RSIA Muhammadiyah Malang;int
RS Islam 'Aisyiyah Malang;int
RSU Muhammadiyah Sumatera Utara;int
RSIA PKU Muhammadiyah Cipondoh ;int
RSIA Sitti Khadijah I Muhammadiyah Cabang Makassar;int
RS Islam Jakarta Cempaka Putih;tem
RS Islam Jakarta Pondok Kopi;tem
RS Muhammadiyah Lamongan;tem
RSU 'Aisyiyah Ponorogo;tem
RS Islam Jakarta Cempaka Putih;tec
RS Islam Jakarta Pondok Kopi;tec
RS Islam Jakarta Sukapura;tec
RS Muhammadiyah Lamongan;tec
RSU 'Aisyiyah Ponorogo;tec
